tokens,BIO
"['В', 'частности', ',', '4', 'ноября', '2014', 'г', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Комментарий', ':', 'Спор', 'вокруг', '""', 'Брекзита', '""', 'породил', 'хаос', 'в', 'Лондоне', '10.07.2018', 'С', 'одной', 'стороны', ',', 'адепты', 'жесткого', 'варианта', '""', 'Брекзита', '""', 'к', 'компромиссам', 'не', 'готовы', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Вот', 'сейчас', 'он', 'налицо', ',', 'это', 'правительственный', 'кризис', ',', 'поэтому', 'здесь', 'надо', 'комментировать', 'не', 'только', 'отставку', 'Бориса', 'Джонсона', ',', 'а', 'вообще', 'все', ',', 'что', 'творится', 'в', 'кабинете', 'премьер-министра', 'Терезы', 'Мэй', '»', ',', '—', 'заявила', 'Мария', 'Захарова', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'B-PER', 'O']"
"['Судьи', 'заявили', ',', 'что', 'сторона', 'обвинения', 'потерпела', 'полный', 'крах', ',', 'пытаясь', 'предоставить', 'сколь-нибудь', 'достоверные', 'доказательства', 'в', 'деле', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['С', '.']","['I-PER', 'I-PER']"
"['В', 'настоящее', 'время', 'партия', 'стремительно', 'набирает', 'силу', ',', 'что', 'показали', 'последние', 'парламентские', 'выборы', '-', 'на', 'них', '""', 'Техрик-э-Лабайк', 'Пакистан', '""', 'получила', '2,23', 'миллиона', 'голосов', ',', 'хотя', 'это', 'было', 'их', 'первое', 'участие', 'в', 'избирательной', 'кампании', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Премьер', 'благодарит', 'Бориса', 'за', 'его', 'работу', '""', ',', '-', 'приводит', 'телеканал', 'текст', 'заявления', 'Даунинг-Стрит', '.']","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Столько', 'врать', 'миру', 'про', '""', 'руку', 'Кремля', '""', ',', '""', 'агрессию', 'против', 'Великобритании', 'на', 'территории', 'Великобритании', '""', ',', '""', 'Новичок', '""', ',', 'ЧМ-2018', 'и', 'тд', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Подробности', '.']","['O', 'O']"
"['Джонсону', 'придется', 'вести', 'переговоры', 'с', 'лидерами', 'стран', 'со', 'всего', 'мира', '.']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Обвинения', 'в', 'оскорблении', 'мусульманского', 'пророка', 'вызвали', 'несогласие', 'в', 'ряде', 'государств', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Выход', 'Великобритании', 'из', 'ЕС', 'по-прежнему', 'намечен', 'на', '29', 'марта', '2019', 'года', '.']","['O', 'B-LOC', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Апелляция', ',', 'которую', 'исламисты', 'подали', 'на', 'первое', 'решение', 'высшей', 'судебной', 'инстанции', ',', 'отклонена', ',', 'заявил', 'во', 'вторник', ',', '29', 'января', ',', 'председатель', 'суда', 'Асиф', 'Саид', 'Хоса', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O']"
"['Разве', 'что', 'прическа', 'главы', 'МИД', 'Британии', '.']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"['Демонстрации', 'проходят', 'в', 'Карачи', ',', 'Лахоре', 'и', 'Пешаваре', ',', 'поступают', 'сообщения', 'о', 'столкновениях', 'с', 'полицией', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Пакистанские', 'силы', 'безопасности', 'установили', 'охрану', 'у', 'христианских', 'церквей', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Мы', 'готовы', 'к', 'работе', 'семь', 'дней', 'в', 'неделю', '24', 'часа', 'в', 'сутки', '""', ',', 'сказал', 'он', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['ИА', 'REGNUM', ',', 'сказала', 'Мэй', 'во', 'время', 'выступления', 'в', 'палате', 'общин', 'парламента', '.']","['B-ORG', 'B-ORG', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']"
"['Впрочем', ',', 'ее', 'никто', 'и', 'не', 'слушал', ':', 'сначала', 'женщину', 'избила', 'толпа', ',', 'потом', 'отдали', 'под', 'суд', ',', 'который', 'приговорил', 'ее', 'к', 'смертной', 'казни', 'через', 'повешение', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Захарова', 'лирически', 'прокомментировала', 'отставку', 'Джонсона', 'Официальный', 'представитель', 'МИД', 'России', 'Мария', 'Захарова', 'прокомментировала', 'в', 'своем', 'Facebook', 'решение', 'министра', 'иностранных', 'дел', 'Великобритании', 'Бориса', 'Джонсона', 'уйти', 'в', 'отставку', '.']","['B-PER', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'B-ORG', 'I-ORG', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']"
"['Оба', 'увольнения', 'связаны', 'с', 'разногласиями', 'в', 'правительстве', 'относительно', 'подхода', 'к', 'выходу', 'Великобритании', 'из', 'Евросоюза', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
"['С', 'другой', '-', 'умеренные', 'депутаты', 'в', 'нижней', 'палате', 'британского', 'парламента', 'считают', 'жесткий', 'вариант', ',', 'о', 'котором', 'мечтает', 'противоположная', 'сторона', ',', 'безумием', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Отметим', ',', 'что', 'перед', 'отставкой', 'Борис', 'Джонсон', 'уже', 'не', 'стеснялся', 'и', 'открыто', 'критиковал', 'Терезу', 'Мэй', ',', 'сообщают', 'британские', 'СМИ', '.']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O']"
"['Дэвид', 'Дэвис', '(', 'слева', ')', 'и', 'Борис', 'Джонсон', '.']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
"['Он', 'сменил', 'на', 'посту', 'Бориса', 'Джонсона', ',', 'который', 'вчера', 'подал', 'в', 'отставку', '.']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['На', 'основе', 'трехстраничного', 'резюме', 'Bloomberg', 'сделало', 'вывод', ',', 'что', 'предложенные', 'Мэй', 'и', 'поддержанные', 'правительством', 'предложения', 'соответствуют', 'мягкому', 'Brexit', '.']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'ответ', 'религиозные', 'радикалы', 'отсекли', 'Исламабад', 'и', 'его', 'город-спутник', 'Равалпинди', 'от', 'остальной', 'страны', ',', 'перекрыв', 'движение', 'по', 'автотрассам', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['За', 'ее', 'судьбой', 'следили', 'правозащитники', 'во', 'всем', 'мире', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['О', 'причинах', 'его', 'ухода', 'не', 'сообщается', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Уже', 'известно', ',', 'что', 'правительство', 'отправило', 'делегацию', 'на', 'переговоры', 'с', 'лидером', '«', 'Техрик-э-Лабаик', '»', 'Хадимом', 'Хусейном', 'Ризви', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PER', 'I-PER', 'B-PER', 'O']"
"['Сегодня', 'Борис', 'Дж', 'o', 'нсон', 'д', 'o', 'лжен', 'был', 'принять', 'участие', 'в', 'пресс-конференции', 'c', 'главами', 'МИД', 'Германии', 'и', 'Польши', 'на', 'проходящем', 'в', 'Лондоне', 'саммите', ',', 'посвященном', 'развитию', 'региона', 'Западных', 'Балкан', '.']","['O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O']"
"['Ранее', 'Мэй', 'пообещала', 'отправить', 'в', 'отставку', 'Джонсона', ',', 'если', 'он', 'откажется', 'принять', 'ее', 'позицию', 'по', 'плавному', 'выходу', 'из', 'Евросоюза', '.']","['O', 'B-PER', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['К', 'сожалению', ',', 'проблема', 'Brexit', 'не', 'уйдет', 'с', 'Дэвисом', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Это', 'было', 'действительно', 'неожиданно', ',', 'поскольку', '6', 'июля', 'Мэй', 'с', 'облегчением', 'заявила', ',', 'что', 'согласовала', 'свой', 'план', 'с', 'членами', 'правительства', ',', 'и', 'они', 'единогласно', 'ее', 'поддержали', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Впоследствии', 'к', 'этим', 'призывам', 'прибавились', 'требования', 'казнить', 'судей', ',', 'оправдавших', 'ее', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Теперь', 'она', 'планирует', 'покинуть', 'Пакистан', 'вместе', 'с', 'семьей', ',', 'опасаясь', 'гнева', 'исламских', 'фундаменталистов', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', '2011', 'году', 'после', 'выступления', 'в', 'защиту', 'осужденной', 'христианки', 'и', 'призыва', 'отменить', 'закон', 'о', 'богохульстве', 'был', 'убит', 'губернатор', 'Пенджаба', 'Салман', 'Тасир', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-PER', 'I-PER', 'O']"
"['В', 'Исламабад', 'к', 'зданию', 'Верховного', 'суда', 'их', 'не', 'пустили', 'полиция', 'и', 'военные', '.']","['O', 'B-LOC', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Исламисты', 'блокировали', 'главную', 'дорогу', 'между', 'Исламабадом', 'и', 'Равалпинди', ',', 'а', 'в', 'провинции', 'Пенджаб', 'подали', 'апелляцию', 'на', 'оправдательный', 'приговор', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Джонсон', 'и', 'Дэвис', 'были', 'ключевыми', 'министрами', 'в', 'кабинете', 'Мэй', ',', 'они', 'являлись', 'сторонниками', '""', 'жесткого', 'Brexit', '""', '.']","['B-PER', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'заявлении', 'об', 'уходе', 'Дэвис', 'написал', ',', 'что', '""', 'нынешняя', 'тенденция', 'в', 'политике', 'и', 'тактике', '""', 'делает', '""', 'все', 'менее', 'и', 'менее', 'вероятным', '""', 'выход', 'Британии', 'из', 'таможенного', 'союза', 'и', 'общего', 'рынка', '.']","['O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Мне', 'теперь', 'можно', 'будет', 'выйти', '?']","['O', 'O', 'O', 'O', 'O', 'O']"
"['в', 'поддержку', 'Brexit', 'высказались', '51,9', 'процента', 'британцев', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Приговор', 'был', 'отменен', '31', 'октября', 'верховным', 'судом', 'республики', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Осенью', '2014', 'года', 'к', 'главе', 'Пакистана', 'Мамнуну', 'Хусейну', 'с', 'просьбой', 'о', 'помиловании', 'Асии', 'Биби', 'обращался', 'патриарх', 'Московский', 'и', 'всея', 'Руси', 'Кирилл', ',', 'но', 'не', 'был', 'услышан', 'властями', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Отставка', 'Джонсона', 'стала', 'второй', 'среди', 'британских', 'министров', 'за', 'сутки', '.']","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['По', 'их', 'мнению', ',', 'Асия', 'Биби', 'могла', 'осквернить', 'воду', '.']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']"
"['Ранее', 'по', 'этой', 'же', 'причине', 'ушел', 'в', 'отставку', 'министр', 'по', 'вопросам', 'Brexit', 'Дэвид', 'Дэвис', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
"['Только', 'так', 'можно', 'добиться', 'сохранения', 'конституционной', 'целостности', 'и', 'выполнения', 'целей', ',', 'обозначенных', 'на', 'референдуме', ',', '-', 'сказала', 'премьер-министр', 'Великобритании', 'Тереза', 'Мэй', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-PER', 'I-PER', 'O']"
"['В', 'нескольких', 'пакистанских', 'городах', 'прошли', 'демонстрации', 'против', 'приговора', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Существуют', 'опасения', ',', 'что', 'оправдание', 'Биби', 'приведет', 'к', 'яростной', 'реакции', 'среди', 'мусульман-сторонников', 'жесткой', 'линии', '.']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Понятно', ',', 'что', 'для', 'гордых', 'англичан', 'такая', 'потенциальная', 'зависимость', 'выглядит', 'неприемлемой', ',', 'да', 'и', 'терять', 'территории', 'Соединенного', 'Королевства', 'тоже', 'не', 'хочется', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O']"
"['С', 'критикой', 'на', 'Терезу', 'Мэй', 'в', 'парламенте', 'обрушились', 'не', 'только', 'депутаты', 'оппозиционной', 'Лейбористской', 'партии', 'и', 'шотландские', 'националисты', ',', 'но', 'и', 'некоторые', 'члены', 'Консервативной', 'партии', '.']","['O', 'O', 'O', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"['О', 'решении', 'Джонсона', 'стало', 'известно', 'за', 'полчаса', 'до', 'запланированного', 'выступления', 'премьер-министра', 'Терезы', 'Мэй', ',', 'в', 'ходе', 'которого', 'она', 'собиралась', 'представить', 'новый', 'план', 'по', 'выходу', 'Великобритании', 'из', 'Евросоюза', '.']","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-ORG', 'O']"
"['Мэй', 'поблагодарила', 'Джонсона', 'за', 'работу', ',', '—', 'говорится', 'в', 'официальном', 'заявлении', 'Даунинг-Стрит', '.']","['B-PER', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"[',', 'обращался', 'он', 'к', 'Мэй', '.']","['O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Выступление', 'из-за', 'этого', ',', 'впрочем', ',', 'не', 'сорвалось', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Глава', 'МИД', 'Великобритании', 'Борис', 'Джонсон', 'ушел', 'в', 'отставку', ',', 'говорится', 'в', 'заявлении', 'канцелярии', 'кабмина', 'страны', '.']","['O', 'B-ORG', 'B-LOC', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O']"
"['Его', 'убийца', ',', 'Мумтаз', 'Кадри', ',', 'был', 'позже', 'повешен', ',', 'но', 'стал', 'культовой', 'фигурой', '.']","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Через', 'несколько', 'дней', 'они', 'пожаловались', 'на', 'Асию', 'Биби', 'местному', 'мулле', 'и', 'обвинили', 'ее', 'в', 'богохульстве', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Ранее', 'верховный', 'суд', 'Пакистана', 'вынес', 'оправдательный', 'приговор', 'Биби', ',', 'которая', 'в', '2010', 'году', 'была', 'приговорена', 'к', 'смертной', 'казни', 'за', 'богохульство', '.']","['O', 'B-ORG', 'I-ORG', 'B-LOC', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'ряде', 'школ', 'в', 'связи', 'с', 'протестами', 'отменены', 'занятия', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'столице', 'страны', 'Исламабаде', 'усилены', 'меры', 'безопасности', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
"['Редакция', 'Gazeta', '.']","['O', 'O', 'O']"
"['За', 'Борисом', 'Джонсоном', 'последует', 'сама', 'Мэй', '-', 'британская', 'пресса', 'о', 'главном', 'политическом', 'кризисе', 'недели', 'Комментируя', 'отставку', 'министра', 'иностранных', 'дел', 'Великобритании', 'Бориса', 'Джонсона', ',', 'британские', 'СМИ', 'напоминают', ',', 'что', 'он', 'был', 'одним', 'из', 'самых', 'ярких', 'противников', 'планов', 'премьер-министра', 'Великобритании', 'Терезы', 'Мэй', ',', 'которая', 'планировала', 'мягкий', 'выход', 'из', 'ЕС', '.']","['O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Но', '...', 'кто', 'знает', '?']","['O', 'O', 'O', 'O', 'O']"
"['Сторонники', 'же', 'жесткого', '""', 'Брекзита', '""', 'не', 'имеют', 'поддержки', 'парламента', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['спустя', 'месяц', 'после', 'того', ',', 'как', 'Высокий', 'суд', 'в', 'Лахоре', 'оставил', 'в', 'силе', 'смертный', 'приговор', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Новым', 'главой', 'ведомства', 'назначен', 'Джереми', 'Хант', '.']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
