tokens,BIO
"['Тогда', ',', 'помимо', 'рукоприкладства', ',', 'оппозиция', ',', 'выступавшая', 'против', 'принятия', 'закона', ',', 'применила', 'такое', 'средство', 'убеждения', ',', 'как', 'сырые', 'яйца', ',', 'которыми', 'закидала', 'спикера', 'Владимира', 'Литвина', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
"['К', 'таким', 'выводам', 'эксперт', 'пришёл', 'в', 'связи', 'с', 'предновогодними', 'проблемами', 'с', 'энергоснабжением', 'региона', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['1', 'января', '2011', 'года', 'эстонцы', 'перестали', 'пользоваться', 'кронами', 'и', 'перешли', 'на', 'общеевропейскую', 'валюту', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Вручение', 'АБС-Премии', 'пройдет', '21', 'июня', 'в', 'Пулковской', 'обсерватории', 'Санкт-Петербурга', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O']"
"['Еще', 'одна', 'секция', 'была', 'посвящена', 'гармонизации', 'природоохранного', 'законодательства', 'стран', 'Арктического', 'совета', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"['В', 'пяти', 'километрах', 'от', 'впадения', 'в', 'Неву', '3-4', 'июня', '2010', 'г', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['«', 'Мы', 'знаем', ',', 'как', 'опасно', 'разделение', 'людей', 'по', 'национальному', 'признаку', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'пресс-службе', 'Центра', 'им', '.']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['""', 'Они', 'записали', 'песню', 'в', 'июне', '1961', 'года', 'в', 'Гамбурге', 'с', 'Кемпфертом', 'и', 'выпустили', 'в', 'Германии', 'в', 'октябре', 'того', 'же', 'года', ',', '-', 'рассказал', 'он', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Россия', ',', 'Казахстан', 'и', 'Белоруссия', 'создадут', 'валютный', 'союз', 'Владимир', 'Путин', 'заявил', 'о', 'необходимости', 'создания', 'валютного', 'союза', 'и', 'координации', 'монетарной', 'политики', 'Москвы', ',', 'Минска', 'и', 'Астаны', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Обычно', 'такой', 'пакет', 'обходится', 'компаниям', 'примерно', 'в', '20', 'тыс', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'каждой', 'категории', 'вручат', 'по', 'две', 'награды', '—', 'одну', 'от', 'жюри', ',', 'а', 'другую', 'от', 'пользователей', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Фирменные', 'бренды', 'тускнеют', 'рядом', 'с', 'образными', 'метафорами', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['4', '.']","['O', 'O']"
"['Особенно', 'подробно', ',', 'по', 'словам', 'Нуланд', ',', 'в', 'Москве', 'она', 'говорила', 'о', 'том', ',', '«', 'как', 'США', 'могут', 'оказать', 'поддержку', 'в', 'выполнении', 'минских', 'договоренностей', ',', 'поддержать', 'стороны', 'переговоров', '—', 'Россию', ',', 'Украину', 'и', 'ОБСЕ', '»', '.']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O']"
"['Пока', 'самым', 'крупным', 'слиянием', 'в', 'мире', 'IT-корпораций', 'является', 'соглашение', 'между', 'Avago', 'Technologies', 'и', 'Broadcom', ',', 'которое', ',', 'напомним', ',', 'было', 'объявлено', 'в', 'мае', 'этого', 'года', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Что', 'под', 'этим', 'понимается', 'будет', 'разъяснено', 'позже', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Из', 'эмиграции', 'Вертинский', 'вернулся', 'практически', 'с', 'пустыми', 'карманами', ',', 'вскоре', 'родилась', 'вторая', 'дочь', ',', 'Настя', '.']","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Буту', '17', 'ноября', '2010', 'года', 'были', 'предъявлены', 'обвинения', 'из', 'четырёх', 'пунктов', '.']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Отмечается', 'даже', ',', 'что', 'оно', 'имеет', 'несколько', '«', 'различных', 'личностей', '»', ',', 'то', 'есть', 'профилей', 'поведения', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['ВКонтакте', '—', 'крупнейшая', 'в', 'Рунете', 'социальная', 'сеть', ',', 'первый', 'по', 'популярности', 'сайт', 'на', 'территории', 'Белоруссии', ',', 'второй', '—', 'в', 'России', ',', 'третий', '—', 'на', 'Украине', ',', 'четвёртый', '—', 'в', 'Казахстане', ',', '20-й', '—', 'в', 'мире', '.']","['B-ORG', 'O', 'O', 'O', 'B-ORG', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'декабре', '2013', 'года', 'администрация', '«', 'ВКонтакте', '»', 'отказалась', 'присоединиться', 'к', 'соглашению', '.']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"['У', 'нас', 'есть', 'совместные', 'планы', 'на', 'будущее', ',', 'и', 'первый', 'проект', '—', 'балет', 'по', 'произведению', 'Бальзака', ',', 'музыку', 'для', 'которого', 'пишет', 'современный', 'композитор', 'Десятников', '»', ',', '—', 'сказал', 'генеральный', 'директор', 'Большого', 'театра', 'Анатолий', 'Иксанов', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'B-PER', 'I-PER', 'O']"
"['Материнская', 'утроба', 'при', 'родах', '—', 'открывающиеся', 'небесные', 'ворота', ',', 'а', 'пройти', 'сквозь', 'ворота', ',', 'через', 'дверь', '—', 'значит', 'спастись', ',', 'родиться', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['И', 'именно', 'о', 'таком', 'поединке', 'можно', 'говорить', ',', 'что', 'здесь', 'было', 'противоборство', 'тренеров', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Стоит', 'отметить', ',', 'что', 'после', 'нулевой', 'ничьей', 'в', 'матче', 'в', 'Ереване', 'сборная', 'России', 'потеряла', 'два', 'очка', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O']"
"['А', '40', 'тыс', '.']","['O', 'O', 'O', 'O']"
"['В', 'настоящем', 'сексе', 'важны', 'запахи', 'и', 'феромоны', ',', 'а', 'с', 'партнером', 'вырабатывается', 'эмоциональная', 'связь', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Посол', 'Евросоюза', 'на', 'Южном', 'Кавказе', 'Питер', 'Семнеби', 'и', 'представители', 'ПАСЕ', '(', 'Парламентской', 'ассамблеи', 'Совета', 'Европы', ')', 'призывают', 'руководство', 'Грузии', 'отменить', 'чрезвычайное', 'положение', ',', 'при', 'котором', 'запрещены', 'митинги', ',', 'демонстрации', 'и', 'вещание', 'независимых', 'теле-', 'и', 'радиостанций', ',', 'как', 'можно', 'скорее', '.']","['O', 'B-ORG', 'O', 'B-LOC', 'I-LOC', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'I-ORG', 'B-ORG', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Одновременно', 'министр', 'выразил', 'надежду', ',', 'что', 'компании', 'автомобильной', 'и', 'нефтяной', 'промышленности', ',', 'также', 'поддержат', 'эти', 'исследования', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['При', 'подписании', 'нового', 'соглашения', 'министр', 'торговли', 'Китая', 'Чэнь', 'Дэмин', 'заявил', ',', 'что', 'одним', 'из', 'приоритетов', 'является', 'перевод', 'огромных', 'резервов', 'иностранной', 'валюты', 'в', 'зарубежные', 'активы', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'соответствии', 'с', 'договорённостями', 'контрагентов', ',', 'которые', 'уже', 'были', 'одобрены', 'советами', 'директоров', 'обеих', 'компаний', 'ICE', ',', 'торгующая', 'сырьевыми', 'контрактами', ',', 'фьючерсами', 'и', 'деривативами', ',', 'заплатит', 'за', 'каждую', 'акцию', 'NYSE', 'Euronext', '33,1', 'долларов', 'США', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O']"
"['Глава', 'палестинской', 'делегации', 'на', 'переговорах', 'Саеб', 'Эрекат', 'призвал', 'ООН', '«', 'ответить', 'на', 'односторонние', 'действия', 'Израиля', 'признанием', 'Палестинского', 'государства', 'в', 'границах', '67-го', 'года', 'со', 'столицей', 'в', 'Восточном', 'Иерусалиме', '»', '.']","['O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O']"
"['Так', ',', 'директор', 'департамента', 'по', 'работе', 'с', 'инвестиционным', 'сообществом', 'ГМК', '«', 'Норильский', 'никель', '»', 'Владимир', 'Жуков', 'рассказал', 'об', 'особенностях', 'арктических', 'месторождений', 'и', 'необходимости', 'господдержки', 'государства', 'в', 'сфере', 'лицензирования', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Я', 'не', 'верю', 'никакому', 'телевидению', ',', 'я', 'не', 'слушаю', 'никакого', 'радио', 'и', 'не', 'читаю', 'никаких', 'газет', '...', 'Такая', 'ситуация', ',', 'когда', 'нужно', 'уповать', 'на', 'Господа', 'Бога', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
"['Джорджу', 'Харрисону', 'тогда', 'было', '18', 'лет', ',', 'Полу', 'Маккартни', '-', '19', 'лет', ',', 'Джону', 'Леннону', '-', '20', 'лет', '.']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']"
"['У', 'основателей', 'компании', 'Михаила', 'Орлова', 'и', 'Максима', 'Голополосова', 'остается', 'миноритарный', 'пакет', 'акций', '.']","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O']"
"['Учёные', 'создали', 'высокотемпературные', 'сверхпроводники', 'из', 'непроводников', 'Исследователи', 'Брукхейвенской', 'национальной', 'лаборатории', 'сообщили', 'об', 'открытии', 'физического', 'эффекта', ',', 'который', 'может', 'стать', 'основой', 'получения', 'нового', 'класса', 'высокотемпературных', 'сверхпроводников', ',', 'Так', 'принято', 'называть', 'искусственные', 'материалы', ',', 'которые', 'обретают', 'нулевое', 'электрическое', 'сопротивление', 'уже', 'при', 'охлаждении', 'до', 'многих', 'десятков', 'градусов', 'по', 'абсолютной', 'шкале', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Мы', ',', 'люди', 'России', 'и', 'Украины', ',', '-', 'родня', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
"['Встреча', 'Порошенко', 'с', 'Обамой', 'может', 'произойти', 'еще', 'раньше', '-', '3', 'июня', 'в', 'Варшаве', ',', 'отмечает', 'РБК', '.']","['O', 'B-PER', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG', 'O']"
"['Ru', 'Group', 'собирается', 'участвовать', 'в', 'работе', 'комиссии', ',', 'говорит', 'представитель', 'компании', 'Ксения', 'Чабаненко', '.']","['I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
"['Вячеслав', 'Бутусов', ':', '""', 'Я', 'обращаюсь', 'не', 'только', 'к', 'нашим', 'дорогим', 'и', 'близким', 'людям', 'в', 'Украине', ',', 'но', 'и', 'ко', 'всем', 'людям', ',', 'которые', 'имеют', 'внимание', 'к', 'этому', 'вопросу', ',', 'и', 'ко', 'всем', 'людям', ',', 'которым', 'не', 'наплевать', 'на', 'то', ',', 'что', 'происходит', 'сейчас', 'в', 'мире', '...', 'Мы', 'ничего', 'не', 'знаем', '.']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['«', 'Почему', 'так', '?']","['O', 'O', 'O', 'O']"
"['И', 'это', 'то', ',', 'чего', ',', 'к', 'сожалению', ',', 'во', 'многих', 'странах', ',', 'в', 'том', 'числе', 'и', 'в', 'Европе', ',', 'предпочитают', 'не', 'замечать', '»', ',', '—', 'считает', 'Путин', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Глава', '«', 'Газпром-Медиа', '»', 'публично', 'раскритиковал', '«', 'Эхо', 'Москвы', '»', 'Михаил', 'Лесин', 'также', 'опроверг', 'информацию', 'о', 'том', ',', 'что', 'главный', 'редактор', '«', 'Эха', '»', 'Алексей', 'Венедиктов', 'предлагал', 'выкупить', 'радиостанцию', ',', 'и', 'заявил', ',', 'что', '«', 'Газпром-Медиа', '»', 'не', 'будет', '«', 'продавать', 'этот', 'ресурс', '»', '.']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Мне', 'захотелось', 'создать', 'героя', ',', 'который', 'бесконечно', 'одинок', 'в', 'этом', 'огромном', 'и', 'сложном', 'обществе', 'денег', 'и', 'информации', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Статус', 'неактивного', 'блог', 'или', 'сообщество', 'получат', 'в', 'том', 'случае', ',', 'если', 'записи', 'в', 'них', 'не', 'обновлялись', 'в', 'течение', 'двух', 'лет', ',', 'их', 'владельцы', 'не', 'логинились', 'или', 'же', 'содержание', 'журнала', 'исчерпывается', 'только', 'приветствием', 'Livejournal', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Чтобы', 'в', 'Арктику', 'вкладывали', ',', 'рентабельность', 'нужна', 'гораздо', 'выше', ',', 'чем', 'в', 'других', 'регионах', '.']","['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Здесь', ',', 'как', 'кажется', ',', 'и', 'проходит', 'последняя', 'граница', 'смещения', 'художественного', 'внимания', 'от', 'того', ',', 'что', 'снаружи', ',', 'к', 'тому', ',', 'что', 'внутри', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Однако', ',', 'как', 'известно', ',', 'глава', 'России', '31', 'октября', 'всё', 'же', 'побывал', 'с', 'рабочей', 'поездкой', 'на', 'южных', 'островах', 'архипелага', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Следует', 'отметить', ',', 'что', 'экспертов', 'смущает', ',', 'что', 'в', 'результате', 'сделки', 'у', '«', 'Роснефть', '»', 'станет', 'самый', 'большой', 'долг', 'в', 'отрасли', '(', 'уровень', 'долговой', 'нагрузки', 'вырастет', 'до', '63', 'млрд', 'долларов', 'США', '—', 'втрое', 'выше', ',', 'чем', 'у', 'остальных', 'компаний', 'этого', 'сектора', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Проект', 'ориентировочной', 'стоимостью', '$', '70', 'млн', 'откроет', 'жителям', 'острова', 'доступ', 'на', 'информационный', 'суперхайвей', ',', 'а', 'также', 'улучшит', 'качество', 'международной', 'телефонной', 'связи', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['По', 'закону', 'Роскомнадзор', 'должен', 'будет', 'вести', 'реестр', 'блогеров', '.']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"['»', 'на', 'активы', 'проекта', 'и', 'станет', 'самостоятельно', 'развивать', 'F', '5', '.']","['O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"['В', 'исполнении', 'одного', 'из', 'его', 'основателей', 'Раймонда', 'Чандлера', '(', '1888—1959', ')', 'это', 'чувственная', 'поэтическая', 'литература', ',', 'пронизанная', 'горькой', 'иронией', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Инициатива', '«', 'Яблока', '»', 'оказалась', 'неожиданной', 'не', 'только', 'для', 'Александра', 'Белова', ',', 'но', 'и', 'для', 'его', 'идейного', 'оппонента', 'Александра', 'Брода', ',', 'известного', 'борца', 'с', 'ксенофобией', ',', 'члена', 'Общественной', 'палаты', 'и', 'российско-американской', 'рабочей', 'группы', 'по', 'гражданскому', 'обществу', '.']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O']"
"['Мол', ',', 'утрата', 'родины', 'стала', 'для', 'него', 'тем', '«', 'простым', 'человеческим', 'горем', '»', ',', 'которого', 'так', 'не', 'хватало', 'по', 'форме', 'безупречным', 'его', 'стихам', ',', 'чтобы', 'они', 'наполнились', 'содержанием', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Так', ',', 'как', 'мы', 'это', 'уже', 'делали', 'в', 'течение', 'прошлых', '10', 'лет', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Министр', 'иностранных', 'дел', 'Эстонии', 'Кейт', 'Пентус', 'Роозиманнус', 'также', 'высказалась', 'в', 'поддержку', 'усиления', 'давления', 'на', 'Россию', 'в', 'случае', 'невыполнения', 'минских', 'договоренностей', '.']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Сейчас', 'за', 'свою', 'долю', 'ВР', 'получила', '16,65', 'млрд', 'долларов', 'и', '12,84', '%', 'акций', '«', 'Роснефти', '»', '.']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O']"
"['Кроме', 'того', ',', 'видео', 'канала', 'легально', 'размещаются', 'на', 'YouTube', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Своего', 'логотипа', 'у', 'канала', 'пока', 'нет', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Новая', 'документация', 'будет', 'перепроверена', 'экспертами', 'ЕС', '.']","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
